policy,Group,Code,Question,quant_indicator,qual_answer,english_version,Answer3,Comment on coding
AT_1a,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Desired publication media, including a brief outline of their importance in the field: Publishers, Q1 journals, indexing in the relevant publication databases SCIE, SSCI, AHCI, Scopus, and other excellence criteria","Desired publication media, including a brief outline of their importance in the field: Publishers, Q1 journals, indexing in the relevant publication databases SCIE, SSCI, AHCI, Scopus, and other excellence criteria",NA,NA
AT_1a,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
AT_1a,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,Average number of publications that can be expected per year for the duration of the qualification phase.,Average number of publications that can be expected per year for the duration of the qualification phase.,NA,NA
AT_1a,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
AT_1a,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
AT_1a,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA
AT_1a,Patents,Patents,patenting discoveries/inventions,1,Submission of employee inventions,Submission of employee inventions,NA,NA
AT_1b,Metadata,PolicyDate,When did the policy come into effect?,2014-03-29,NA,NA,NA,NA
AT_1b,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA
AT_1b,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).","document describes procedures and regulations regarding habilitation (venia docendi, i.e. the right to teach)",NA,NA,NA,NA
AT_1b,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
AT_1b,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
AT_1b,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_1b,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_1b,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
AT_1b,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_1b,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
AT_1b,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_1b,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_1b,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_1b,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
AT_1b,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
AT_1b,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
AT_1b,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,Verzeichnis aller bisher verfassten und veröffentlichten wissenschaftlichen Arbeiten; diese oder eine Auswahl von diesen sind entweder in einem gängigen Dateiformat elektronisch auf einem gängigen Datenträger oder in 5-facher Ausfertigung vorzulegen;,List of all scientific papers written and published to date; these or a selection of these are to be submitted either electronically in a common file format on a common data carrier or in 5 copies;,NA,NA
AT_1b,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
AT_1b,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA
AT_1b,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
AT_1c,Metadata,PolicyDate,When did the policy come into effect?,2019-06-18,NA,NA,NA,NA
AT_1c,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Professor,NA,NA,NA,NA
AT_1c,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",evaluation,NA,NA,NA,NA
AT_1c,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
AT_1c,MoRRIIndicators,GenderReviewers,gender of reviewers considered,1,"Policy links to general policy: Bei GutachterInnengruppen wird auf eine ausgewogene Verteilung der Geschlechter, des akademischen Alters sowie der Herkunftsinstitutionen und -länder geachtet.","Policy links to general policy: A balanced distribution of gender, academic age, institutions and countries of origin is taken into account in the reviewer groups.",NA,"We said to only include information that is in the policy. However in this case, the policy explicitely states that the rules listed somewhere else apply to this."
AT_1c,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,1,"Policy links to general policy: Bei GutachterInnengruppen wird auf eine ausgewogene Verteilung der Geschlechter, des akademischen Alters sowie der Herkunftsinstitutionen und -länder geachtet.","Policy links to general policy: A balanced distribution of gender, academic age, institutions and countries of origin is taken into account in the reviewer groups.",NA,NA
AT_1c,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_1c,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,"Leistungen im Bereich Third Mission
Leistungen des/der KandidatIn im Bereich Wissenstransfer in Gesellschaft und Wirtschaft, ggfs. Techno-logietransfer sowie Öffentlichkeitsarbeit für die Fakultät und die Universität Wien.","Achievements in the area of Third Mission
The candidate's achievements in the area of knowledge transfer in society and business, if applicable technology transfer and public relations for the faculty and the University of Vienna.",NA,NA
AT_1c,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_1c,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Leistungen im Bereich Third Mission
Leistungen des/der KandidatIn im Bereich Wissenstransfer in Gesellschaft und Wirtschaft, ggfs. Techno-logietransfer sowie Öffentlichkeitsarbeit für die Fakultät und die Universität Wien.","Achievements in the area of Third Mission
The candidate's achievements in the area of knowledge transfer in society and business, if applicable technology transfer and public relations for the faculty and the University of Vienna.",NA,NA
AT_1c,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_1c,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_1c,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_1c,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
AT_1c,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,"This is not mandatory, but it is possible to include a bibliometric analysis that is provided by the uni library:

Fachabhängig wird mit Auftrag des Rektors durch das Team Bibliometrie der Universität Wien eine bibliometrische Analyse erstellt und mit dem/der KandidatIn besprochen. Die Ergebnisse werden dem/der KandidatIn, dem/der DekanIn und dem Rektor übermittelt und können dem Leistungsbericht beigelegt werden."
AT_1c,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Please be frank and open and base your assessment of the candidate’s performance solely on the report period (not on prior works).
1. Research Performance and Support of Early Career Scientists
Please assess the candidate’s research achievements and activities in terms of quality, productivity, visi-bility and relevance as well as the candidate’s efforts/success in supporting young scientists.",Full publication list for report period,NA,NA
AT_1c,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,Please select five key publications and provide them in original form (appendix).,Please select five key publications and provide them in original form (appendix).,NA,NA
AT_1c,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,"Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.","Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.",NA,NA
AT_1c,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.","Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.",NA,NA
AT_1c,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
AT_2a,Metadata,PolicyDate,When did the policy come into effect?,2019-06-20,"The policy was originally instated on 2005-04-30, last updated 2019-06-20.","The policy was originally instated on 2005-04-30, last updated 2019-06-20.",NA,NA
AT_2a,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA
AT_2a,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",Special case: career step to gain right to teach,NA,NA,NA,NA
AT_2a,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
AT_2a,MoRRIIndicators,GenderReviewers,gender of reviewers considered,1,Die Vertreter/innen des AKG sind gemäß § 15 Abs. 2 des Frauenförderungsplanes der JKU von diesem zu entsenden.,The representatives of the AKG are to be delegated by the JKU in accordance with § 15 para. 2 of the Women's Advancement Plan.,NA,"AKG means ""Arbeitskreis für Gleichbehandlungsfragen"" i.e. working group euqality"
AT_2a,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_2a,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_2a,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
AT_2a,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_2a,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
AT_2a,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_2a,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_2a,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_2a,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
AT_2a,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
AT_2a,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
AT_2a,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,Verzeichnis aller bisher verfassten und veröffentlichten wissenschaftlichen Arbeiten mitsamt den jeweiligen Arbeiten (Kopie genügt);,List of all scientific papers written and published to date together with the respective papers (copy is sufficient);,NA,It is not entirely clear if this is an attempt to review quality.
AT_2a,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
AT_2a,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",1,"Optional: Liste sonstiger Tätigkeiten wissenschaftlicher Arbeit, zB. Mitwirkung bei der Organisation wissenschaftlicher Konferenzen, Mitarbeit in wissenschaftlichen Gremien, Internationale Lehr- und Forschungserfahrungen, Leitung bzw. Mitarbeit bei Forschungsprojekten, die nicht in Publikationen dokumentiert sind, erteilte Patente;","Optional: List of other activities in scientific work, e.g. participation in the organisation of scientific conferences, participation in scientific committees, international teaching and research experience, management or participation in research projects that are not documented in publications, patents granted;",NA,NA
AT_2a,Patents,Patents,patenting discoveries/inventions,1,"Optional: Liste sonstiger Tätigkeiten wissenschaftlicher Arbeit, zB. Mitwirkung bei der Organisation wissenschaftlicher Konferenzen, Mitarbeit in wissenschaftlichen Gremien, Internationale Lehr- und Forschungserfahrungen, Leitung bzw. Mitarbeit bei Forschungsprojekten, die nicht in Publikationen dokumentiert sind, erteilte Patente;","Optional: List of other activities in scientific work, e.g. participation in the organisation of scientific conferences, participation in scientific committees, international teaching and research experience, management or participation in research projects that are not documented in publications, patents granted;",NA,NA
AT_2b,Metadata,PolicyDate,When did the policy come into effect?,2019-01-31,NA,NA,NA,NA
AT_2b,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Tenure Track,NA,NA,NA,NA
AT_2b,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",Hiring & Promotion,NA,NA,NA,The policy seems to refer to multiple things (tenure track but also berufung to professor). has been coded as one thing.
AT_2b,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),1,"Die/der Rektor/in hat unverzüglich nach Ablauf der Frist gemäß § 10 die Unterlagen der Bewerber/inn/en, die von der Berufungskommission nicht ausgeschieden wurden, an die Gutachter/innen weiterzuleiten. Die Gutachter/innen sind im Besonderen darauf aufmerksam zu machen, dass bei der Beurteilung von Bewerber/inne/n spezifisch weibliche Lebens- und Karriereverläufe Berücksichtigung zu finden haben. Die entsprechenden Bestimmungen des Frauenförderungsplans der JKU sind von der/vom Rektor/in an die Gutachter/innen zu übermitteln.",The rector shall forward the documents of applicants who have not been eliminated by the appointment committee to the reviewers immediately after expiry of the deadline pursuant to § 10. The reviewers shall in particular be made aware that specific female life and career histories must be taken into account in the assessment of applicants. The relevant provisions of the JKU Women's Advancement Plan are to be forwarded to the reviewers by the rector.,NA,NA
AT_2b,MoRRIIndicators,GenderReviewers,gender of reviewers considered,1,§8 (7) Die Vertreter/innen des AKG [Arbeitskreises für Gleichbehandlungsfragen] sind gemäß § 41 Abs. 2 des Frauenförderungsplans der JKU von diesem zu entsenden. Sie sind zu jeder Sitzung der Berufungskommission zu laden.,§8 (7) The representatives of the AKG [Working Group for Equal Treatment Issues] are to be delegated by the JKU in accordance with § 41 para. 2 of the Women's Advancement Plan. They are to be invited to every meeting of the appointment committee.,NA,Unclear whether reviewers means the reviewers (gutachter) or the commitee that appoints. I'm coding here as pertaining to the commitee
AT_2b,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_2b,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_2b,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
AT_2b,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_2b,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Der Ausschreibungstext hat jedenfalls folgende Inhalte aufzuweisen:
6. weitere, je nach auszuschreibender Stelle unterschiedliche Anforderungen wie z.B. Anforderungen an den Wissenstransfer (Zusammenarbeit mit Unternehmen, Drittmittelforschung), Praxiserfahrung;","In any case, the text of the advertisement must contain the following:
6. further requirements, which vary depending on the position to be advertised, such as requirements for knowledge transfer (cooperation with companies, third-party funded research), practical experience;",NA,NA
AT_2b,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_2b,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_2b,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_2b,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
AT_2b,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
AT_2b,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA
AT_2b,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"9. Information, dass die elektronische Bewerbung an die/den RektorIn zu richten ist und mindestens folgende Unterlagen enthalten muss:
d. Die drei wichtigsten Publikationen;","9. information that the electronic application must be addressed to the Rector and must contain at least the following documents:
d. The three most important publications;",NA,NA
AT_2b,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
AT_2b,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA
AT_2b,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
AT_3,Metadata,PolicyDate,When did the policy come into effect?,2017-06-22,NA,NA,NA,NA
AT_3,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA
AT_3,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",special case (venia docendi),NA,NA,NA,NA
AT_3,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
AT_3,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
AT_3,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_3,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_3,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
AT_3,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_3,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
AT_3,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_3,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_3,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_3,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Von den wissenschaftlichen Publikationen müssen 10 in Journalen publiziert sein, die gemäß subject categories des science citation index den oberen zwei Dritteln (Klasse 1 und 2) angehören. Im Fall des Abs 1 müssen mindestens 5 dieser 10 wissenschaftlichen Publikationen dem oberen Drittel (Klasse 1) angehören.","Of the scientific publications, 10 must be published in journals that belong to the top two thirds (classes 1 and 2) according to the subject categories of the science citation index. In the case of paragraph 1, at least 5 of these 10 scientific publications must belong to the upper third (class 1).",NA,NA
AT_3,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
AT_3,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Die Publikationsliste einer Habilitationswerberin/eines Habilitationswerbers muss mindestens 16 wissenschaftliche Publikationen, in internationalen einschlägigen Journalen mit peer review-Verfahren umfassen, die in den letzten 12 Jahren unter Berücksichtigung der Dauer der akademischen Tätigkeit (zB Elternkarenz, Verpflichtungen gegenüber pflegebedürftigen Familienangehörigen, langandauernde Krankheit, Teilzeitbeschäftigung) publiziert worden sind. Bei mindestens sechs dieser wissenschaftlichen Publikationen muss die Habilitationswerberin/der Habilitationswerber als Erst- oder verantwortlich korrespondierende/r Autor/in genannt sein. Als wissenschaftliche Publikationen im Sinne dieser Bestimmung zählen Originalpublikationen einschließlich Research Letters und maximal drei Übersichtsartikel).","The list of publications of a habilitation candidate must include at least 16 scientific publications in international relevant journals with peer review procedures, which have been published in the last 12 years, taking into account the duration of the academic activity (e.g. parental leave, obligations towards family members in need of care, long-term illness, part-time employment). In at least six of these scientific publications, the habilitation candidate must be named as first author or responsible corresponding author. For the purposes of this provision, original publications including research letters and a maximum of three review articles count as scientific publications).",NA,NA
AT_3,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
AT_3,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
AT_3,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA
AT_3,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
AT_4a,Metadata,PolicyDate,When did the policy come into effect?,2018-02-01,NA,NA,NA,NA
AT_4a,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA
AT_4a,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",Special case (venia docendi),NA,NA,NA,NA
AT_4a,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
AT_4a,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
AT_4a,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_4a,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_4a,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
AT_4a,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_4a,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
AT_4a,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_4a,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_4a,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_4a,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Bewertungsgrundlage sind die Journal-Reihungen anhand der Impactfaktoren aus den unver-änderten Reihungslisten des Institute of Scientific Information (ISI). Die Journale innerhalb der ersten 20 % der Reihungsliste gelten als ""Top-Journale"", die weiteren 40 % (zwischen 20 % und 60 % liegenden) als ""Standard-Journale"", die letzten 40 % als „sonstige Journale“. Journale in denen keine Originalarbeiten erscheinen, werden vor der Berechnung von „Standard“ und „Top“ gestrichen.","The evaluation is based on the journal rankings according to the impact factors from the unchanged ranking lists of the Institute of Scientific Information (ISI). The journals within the first 20 % of the ranking list are considered ""top journals"", the other 40 % (between 20 % and 60 %) ""standard journals"", and the last 40 % ""other journals"". Journals in which no original work appears are deleted before the calculation of ""standard"" and ""top"".",NA,NA
AT_4a,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
AT_4a,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Basiserfordernis für eine Habilitation sind 14 Punkte, wobei 1 Punkt für eine Standard-Arbeit und 2 Punkte für eine Top-Arbeit vergeben werden. • Es sind 9 Punkte als Erstautor/in erforderlich • Es müssen 2 Autorschaften in Top-Journalen vorliegen, davon zumindest eine als Erstautor.","The basic requirement for a habilitation is 14 points, with 1 point for a standard paper and 2 points for a top paper. - 9 points are required as first author - There must be 2 authorships in top journals, at least one of which must be as first author.",NA,NA
AT_4a,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA
AT_4a,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA
AT_4a,ServicesToScientificCommunity,PastoralWork,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA
AT_4a,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA
AT_4b,Metadata,PolicyDate,When did the policy come into effect?,NA,NA,NA,NA,NA
AT_4b,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Tenure track,NA,NA,NA,NA
AT_4b,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",Promotion,NA,NA,NA,NA
AT_4b,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA
AT_4b,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA
AT_4b,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA
AT_4b,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA
AT_4b,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA
AT_4b,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA
AT_4b,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA
AT_4b,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA
AT_4b,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA
AT_4b,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA
AT_4b,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA
AT_4b,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA
