country,university,policy,status,level,Group,Code,Question,quant_indicator,qual_answer,english_version,Answer3,Comment on coding,code_legible,uni_name,research,citations
AT,1,a,Research,High,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA,Open access,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA,Data,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA,Software,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",1,"Desired publication media, including a brief outline of their importance in the field: Publishers, Q1 journals, indexing in the relevant publication databases SCIE, SSCI, AHCI, Scopus, and other excellence criteria","Desired publication media, including a brief outline of their importance in the field: Publishers, Q1 journals, indexing in the relevant publication databases SCIE, SSCI, AHCI, Scopus, and other excellence criteria",NA,NA,Journal metrics,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA,Citations,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,Average number of publications that can be expected per year for the duration of the qualification phase.,Average number of publications that can be expected per year for the duration of the qualification phase.,NA,NA,Number of publications,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",0,NA,NA,NA,NA,Publication quality,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA,Review & editorial activities,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,ServicesToScientificCommunity,Service to profession,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA,Service to profession,,23.467505405558306,87.58421962306889
AT,1,a,Research,High,Patents,Patents,patenting discoveries/inventions,1,Submission of employee inventions,Submission of employee inventions,NA,NA,Patents,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Metadata,PolicyDate,When did the policy come into effect?,2014-03-29,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).","document describes procedures and regulations regarding habilitation (venia docendi, i.e. the right to teach)",NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA,Gender equality,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA,Gender of reviewers,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA,Gender balance of reviewers,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA,Citizen science,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA,Engagement with the public,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA,Engagement with policy makers,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA,Engagement with industry,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA,Open access,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA,Data,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA,Software,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA,Journal metrics,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA,Citations,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA,Number of publications,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,Verzeichnis aller bisher verfassten und veröffentlichten wissenschaftlichen Arbeiten; diese oder eine Auswahl von diesen sind entweder in einem gängigen Dateiformat elektronisch auf einem gängigen Datenträger oder in 5-facher Ausfertigung vorzulegen;,List of all scientific papers written and published to date; these or a selection of these are to be submitted either electronically in a common file format on a common data carrier or in 5 copies;,NA,NA,Publication quality,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA,Review & editorial activities,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,ServicesToScientificCommunity,Service to profession,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA,Service to profession,,23.467505405558306,87.58421962306889
AT,1,b,Research,High,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA,Patents,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Metadata,PolicyDate,When did the policy come into effect?,2019-06-18,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Professor,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",evaluation,NA,NA,NA,NA,NA,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA,Gender equality,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,GenderReviewers,gender of reviewers considered,1,"Policy links to general policy: Bei GutachterInnengruppen wird auf eine ausgewogene Verteilung der Geschlechter, des akademischen Alters sowie der Herkunftsinstitutionen und -länder geachtet.","Policy links to general policy: A balanced distribution of gender, academic age, institutions and countries of origin is taken into account in the reviewer groups.",NA,"We said to only include information that is in the policy. However in this case, the policy explicitely states that the rules listed somewhere else apply to this.",Gender of reviewers,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,1,"Policy links to general policy: Bei GutachterInnengruppen wird auf eine ausgewogene Verteilung der Geschlechter, des akademischen Alters sowie der Herkunftsinstitutionen und -länder geachtet.","Policy links to general policy: A balanced distribution of gender, academic age, institutions and countries of origin is taken into account in the reviewer groups.",NA,NA,Gender balance of reviewers,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA,Citizen science,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,1,"Leistungen im Bereich Third Mission
Leistungen des/der KandidatIn im Bereich Wissenstransfer in Gesellschaft und Wirtschaft, ggfs. Techno-logietransfer sowie Öffentlichkeitsarbeit für die Fakultät und die Universität Wien.","Achievements in the area of Third Mission
The candidate's achievements in the area of knowledge transfer in society and business, if applicable technology transfer and public relations for the faculty and the University of Vienna.",NA,NA,Engagement with the public,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA,Engagement with policy makers,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Leistungen im Bereich Third Mission
Leistungen des/der KandidatIn im Bereich Wissenstransfer in Gesellschaft und Wirtschaft, ggfs. Techno-logietransfer sowie Öffentlichkeitsarbeit für die Fakultät und die Universität Wien.","Achievements in the area of Third Mission
The candidate's achievements in the area of knowledge transfer in society and business, if applicable technology transfer and public relations for the faculty and the University of Vienna.",NA,NA,Engagement with industry,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA,Open access,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA,Data,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA,Software,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA,Journal metrics,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,"This is not mandatory, but it is possible to include a bibliometric analysis that is provided by the uni library:

Fachabhängig wird mit Auftrag des Rektors durch das Team Bibliometrie der Universität Wien eine bibliometrische Analyse erstellt und mit dem/der KandidatIn besprochen. Die Ergebnisse werden dem/der KandidatIn, dem/der DekanIn und dem Rektor übermittelt und können dem Leistungsbericht beigelegt werden.",Citations,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),1,"Please be frank and open and base your assessment of the candidate’s performance solely on the report period (not on prior works).
1. Research Performance and Support of Early Career Scientists
Please assess the candidate’s research achievements and activities in terms of quality, productivity, visi-bility and relevance as well as the candidate’s efforts/success in supporting young scientists.",Full publication list for report period,NA,NA,Number of publications,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,Please select five key publications and provide them in original form (appendix).,Please select five key publications and provide them in original form (appendix).,NA,NA,Publication quality,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,ServicesToScientificCommunity,PeerReview,peer review and editor activities,1,"Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.","Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.",NA,NA,Review & editorial activities,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,ServicesToScientificCommunity,Service to profession,"conference organisation, participation in PhD committees or other community services",1,"Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.","Please describe your esteem factors (max. 5 most important each) such as invited plenary talks, editor-ships, scientific/scholarly prizes, peer review activities for funding organizations, external PhD commit-tees, conference organization, etc.",NA,NA,Service to profession,,23.467505405558306,87.58421962306889
AT,1,c,Research,High,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA,Patents,,23.467505405558306,87.58421962306889
AT,2,a,Research,Middle,Metadata,PolicyDate,When did the policy come into effect?,2019-06-20,"The policy was originally instated on 2005-04-30, last updated 2019-06-20.","The policy was originally instated on 2005-04-30, last updated 2019-06-20.",NA,NA,NA,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA,NA,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",Special case: career step to gain right to teach,NA,NA,NA,NA,NA,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA,Gender equality,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,GenderReviewers,gender of reviewers considered,1,Die Vertreter/innen des AKG sind gemäß § 15 Abs. 2 des Frauenförderungsplanes der JKU von diesem zu entsenden.,The representatives of the AKG are to be delegated by the JKU in accordance with § 15 para. 2 of the Women's Advancement Plan.,NA,"AKG means ""Arbeitskreis für Gleichbehandlungsfragen"" i.e. working group euqality",Gender of reviewers,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA,Gender balance of reviewers,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA,Citizen science,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA,Engagement with the public,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA,Engagement with policy makers,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA,Engagement with industry,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA,Open access,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA,Data,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA,Software,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA,Journal metrics,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA,Citations,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA,Number of publications,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,Verzeichnis aller bisher verfassten und veröffentlichten wissenschaftlichen Arbeiten mitsamt den jeweiligen Arbeiten (Kopie genügt);,List of all scientific papers written and published to date together with the respective papers (copy is sufficient);,NA,It is not entirely clear if this is an attempt to review quality.,Publication quality,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA,Review & editorial activities,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,ServicesToScientificCommunity,Service to profession,"conference organisation, participation in PhD committees or other community services",1,"Optional: Liste sonstiger Tätigkeiten wissenschaftlicher Arbeit, zB. Mitwirkung bei der Organisation wissenschaftlicher Konferenzen, Mitarbeit in wissenschaftlichen Gremien, Internationale Lehr- und Forschungserfahrungen, Leitung bzw. Mitarbeit bei Forschungsprojekten, die nicht in Publikationen dokumentiert sind, erteilte Patente;","Optional: List of other activities in scientific work, e.g. participation in the organisation of scientific conferences, participation in scientific committees, international teaching and research experience, management or participation in research projects that are not documented in publications, patents granted;",NA,NA,Service to profession,Johannes Kepler University of Linz,19.7,46.8
AT,2,a,Research,Middle,Patents,Patents,patenting discoveries/inventions,1,"Optional: Liste sonstiger Tätigkeiten wissenschaftlicher Arbeit, zB. Mitwirkung bei der Organisation wissenschaftlicher Konferenzen, Mitarbeit in wissenschaftlichen Gremien, Internationale Lehr- und Forschungserfahrungen, Leitung bzw. Mitarbeit bei Forschungsprojekten, die nicht in Publikationen dokumentiert sind, erteilte Patente;","Optional: List of other activities in scientific work, e.g. participation in the organisation of scientific conferences, participation in scientific committees, international teaching and research experience, management or participation in research projects that are not documented in publications, patents granted;",NA,NA,Patents,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Metadata,PolicyDate,When did the policy come into effect?,2019-01-31,NA,NA,NA,NA,NA,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Tenure Track,NA,NA,NA,NA,NA,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",Hiring & Promotion,NA,NA,NA,The policy seems to refer to multiple things (tenure track but also berufung to professor). has been coded as one thing.,NA,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),1,"Die/der Rektor/in hat unverzüglich nach Ablauf der Frist gemäß § 10 die Unterlagen der Bewerber/inn/en, die von der Berufungskommission nicht ausgeschieden wurden, an die Gutachter/innen weiterzuleiten. Die Gutachter/innen sind im Besonderen darauf aufmerksam zu machen, dass bei der Beurteilung von Bewerber/inne/n spezifisch weibliche Lebens- und Karriereverläufe Berücksichtigung zu finden haben. Die entsprechenden Bestimmungen des Frauenförderungsplans der JKU sind von der/vom Rektor/in an die Gutachter/innen zu übermitteln.",The rector shall forward the documents of applicants who have not been eliminated by the appointment committee to the reviewers immediately after expiry of the deadline pursuant to § 10. The reviewers shall in particular be made aware that specific female life and career histories must be taken into account in the assessment of applicants. The relevant provisions of the JKU Women's Advancement Plan are to be forwarded to the reviewers by the rector.,NA,NA,Gender equality,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,GenderReviewers,gender of reviewers considered,1,§8 (7) Die Vertreter/innen des AKG [Arbeitskreises für Gleichbehandlungsfragen] sind gemäß § 41 Abs. 2 des Frauenförderungsplans der JKU von diesem zu entsenden. Sie sind zu jeder Sitzung der Berufungskommission zu laden.,§8 (7) The representatives of the AKG [Working Group for Equal Treatment Issues] are to be delegated by the JKU in accordance with § 41 para. 2 of the Women's Advancement Plan. They are to be invited to every meeting of the appointment committee.,NA,Unclear whether reviewers means the reviewers (gutachter) or the commitee that appoints. I'm coding here as pertaining to the commitee,Gender of reviewers,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA,Gender balance of reviewers,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA,Citizen science,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA,Engagement with the public,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA,Engagement with policy makers,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,OtherIndicators,Industry,impact type 3) interactions with industry,1,"Der Ausschreibungstext hat jedenfalls folgende Inhalte aufzuweisen:
6. weitere, je nach auszuschreibender Stelle unterschiedliche Anforderungen wie z.B. Anforderungen an den Wissenstransfer (Zusammenarbeit mit Unternehmen, Drittmittelforschung), Praxiserfahrung;","In any case, the text of the advertisement must contain the following:
6. further requirements, which vary depending on the position to be advertised, such as requirements for knowledge transfer (cooperation with companies, third-party funded research), practical experience;",NA,NA,Engagement with industry,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA,Open access,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA,Data,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA,Software,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Bibliometrics,JournalMetrics,"journal based metrics, e.g. impact factor, journal ranking quartiles",0,NA,NA,NA,NA,Journal metrics,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Bibliometrics,Citations,"citations (person-based metrics: h-index, number of citations etc)",0,NA,NA,NA,NA,Citations,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Bibliometrics,NumPublications,number of publications and/or publication list (quantity),0,NA,NA,NA,NA,Number of publications,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Bibliometrics,PublicationQuality,"an attemp to review quality instead of quantity of publications, i.e. a request for key publications, writing samples, etc.",1,"9. Information, dass die elektronische Bewerbung an die/den RektorIn zu richten ist und mindestens folgende Unterlagen enthalten muss:
d. Die drei wichtigsten Publikationen;","9. information that the electronic application must be addressed to the Rector and must contain at least the following documents:
d. The three most important publications;",NA,NA,Publication quality,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,ServicesToScientificCommunity,PeerReview,peer review and editor activities,0,NA,NA,NA,NA,Review & editorial activities,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,ServicesToScientificCommunity,Service to profession,"conference organisation, participation in PhD committees or other community services",0,NA,NA,NA,NA,Service to profession,Johannes Kepler University of Linz,19.7,46.8
AT,2,b,Research,Middle,Patents,Patents,patenting discoveries/inventions,0,NA,NA,NA,NA,Patents,Johannes Kepler University of Linz,19.7,46.8
AT,3,NA,Research,Low,Metadata,PolicyDate,When did the policy come into effect?,2017-06-22,NA,NA,NA,NA,NA,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,Metadata,PositionEvaluated,"Which position level is evaluated in the policy, e.g. tenure track, professor, lecturer, senior lecturer, various (different positions at once),...",Habilitation,NA,NA,NA,NA,NA,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,Metadata,PolicyType,"Describe the type of policy in one sentence (specify if it's for evaluation, promotion, applies to both hiring and promotion simultaneously etc).",special case (venia docendi),NA,NA,NA,NA,NA,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,GenderEquality (GE1),gender equality (or equivalent process),0,NA,NA,NA,NA,Gender equality,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,GenderReviewers,gender of reviewers considered,0,NA,NA,NA,NA,Gender of reviewers,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,Other,GenderBalanceReviewers (GE9),gender balance for reviewers/committees,0,NA,NA,NA,NA,Gender balance of reviewers,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,CitizenScience (SL3),citizen science activities,0,NA,NA,NA,NA,Citizen science,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,PublicEngagement (PE1),impact type 1) public engagement,0,NA,NA,NA,NA,Engagement with the public,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,PolicyMakers (PE2),impact type 2) interactions with policy makers,0,NA,NA,NA,NA,Engagement with policy makers,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,OtherIndicators,Industry,impact type 3) interactions with industry,0,NA,NA,NA,NA,Engagement with industry,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,OpenAccess (OA1),open access publishing,0,NA,NA,NA,NA,Open access,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,MoRRIIndicators,Data (OA2),data publication and/or sharing,0,NA,NA,NA,NA,Data,Medical University of Innsbruck,14.2,89.1
AT,3,NA,Research,Low,OtherIndicators,Software,contributions to scientific software,0,NA,NA,NA,NA,Software,Medical University of Innsbruck,14.2,89.1
